rpm_variation,harsh_braking_count,idling_time,fuel_consumption,acceleration_smoothness
2082,1,10.8,6.87,0.56
3120,1,7.5,7.12,0.53
1922,0,9.6,7.08,0.67
1980,4,14.7,9.9,0.64
1747,1,10.1,8.15,0.54
500,5,6.8,8.54,0.67
1781,2,6.2,7.04,0.85
1842,2,8.4,6.55,0.49
3524,3,12.2,8.62,0.56
1665,4,19.6,9.37,0.77
2011,0,18.8,8.29,0.85
1775,5,13.4,8.58,0.7
981,4,10.6,8.71,0.61
2599,3,12.3,8.83,0.71
2326,2,11.8,8.09,0.88
2353,1,18.5,8.8,0.91
1163,3,4.4,8.96,0.59
2781,2,13.9,9.44,0.7
818,3,17.4,6.14,0.78
2210,4,8.2,8.12,0.7
1106,6,10.2,9.07,0.68
1403,4,5.4,9.1,0.59
1869,3,10.4,7.23,0.73
1447,5,17.8,9.52,0.62
714,4,3.3,6.28,0.52
1056,0,13.4,5.09,1.0
2131,6,14.4,8.1,0.39
1156,2,12.3,5.52,0.7
2884,3,14.5,7.58,0.68
1251,1,1.9,4.98,0.74
1574,3,8.7,6.65,0.79
2369,1,9.0,7.71,0.66
938,4,8.3,8.41,0.59
1959,3,9.6,7.35,0.67
2714,3,16.2,7.94,0.41
674,1,0.0,6.63,0.57
1929,2,11.2,7.57,0.88
1981,2,5.2,8.01,0.61
2347,5,12.6,10.13,0.31
934,0,6.7,6.39,0.52
875,1,9.7,6.69,0.59
2165,1,8.8,8.74,0.64
2007,2,11.9,6.19,0.62
1975,4,15.9,11.07,0.84
2042,3,3.8,8.08,0.7
1323,1,7.5,6.29,0.9
1962,1,5.3,7.18,0.77
2005,1,0.5,7.07,0.78
1299,2,5.5,7.74,0.64
3106,4,17.9,9.8,0.8
2131,4,11.5,11.18,0.47
966,1,11.8,6.31,0.69
2259,0,10.2,7.1,0.55
1117,1,4.7,4.23,0.8
2350,2,13.1,11.56,0.92
2611,6,9.7,9.82,0.64
2474,1,6.2,8.44,1.0
2088,1,2.5,7.93,0.68
2375,4,13.5,7.75,0.73
3127,2,6.9,9.46,0.7
1628,1,12.3,6.59,0.63
1272,2,14.0,5.82,0.51
1177,4,0.0,6.86,0.71
1228,0,25.2,7.32,0.89
1746,4,6.4,8.24,0.53
2038,1,12.8,6.47,0.51
1993,3,9.3,7.64,0.61
2379,6,16.9,9.99,0.83
1809,5,10.9,7.68,0.72
2817,4,20.2,9.12,0.61
1614,4,5.6,7.79,0.46
2237,4,3.2,7.61,0.83
1199,2,10.9,6.41,0.72
1050,6,8.3,8.19,0.61
2137,1,12.8,6.31,0.84
1643,3,13.3,8.34,0.66
2299,3,14.2,8.51,0.59
2131,1,7.9,7.41,0.78
1749,4,11.5,8.91,0.73
1207,1,8.5,6.92,0.8
739,5,8.1,9.43,0.44
1487,1,22.1,6.04,0.74
2399,5,10.0,8.18,0.32
1949,4,10.8,9.35,0.65
927,3,13.2,8.59,0.66
1921,0,5.8,8.98,0.81
2069,2,11.8,5.97,0.61
1181,5,4.7,6.47,0.68
1907,4,12.6,8.88,0.77
999,2,12.4,6.41,0.47
2050,6,22.8,10.02,0.64
2192,4,22.3,8.87,0.56
2558,3,9.3,9.71,0.71
2537,2,0.0,9.07,0.69
835,5,15.6,7.99,0.35
1143,2,8.5,5.91,0.73
2160,3,6.9,7.22,0.79
2159,2,11.7,7.63,0.61
2160,3,12.7,11.18,0.35
2199,3,9.1,6.63,0.62
2594,7,13.4,10.69,0.81
2467,6,12.1,9.85,0.39
2255,4,9.4,8.29,0.94
1579,4,16.2,10.51,0.76
2331,4,8.8,7.74,0.63
1259,4,5.6,7.39,0.52
1634,3,14.1,8.4,0.54
1460,4,15.0,9.73,0.62
1857,3,21.2,6.64,0.84
3420,3,24.0,9.53,0.48
500,1,16.8,8.21,0.7
2280,2,13.8,9.16,0.57
671,3,11.5,9.35,0.6
1469,2,6.6,5.99,0.8
2562,1,20.3,7.97,0.71
1844,1,11.2,7.32,0.79
1045,1,16.5,8.72,0.71
1299,3,11.3,7.84,0.42
1288,0,9.0,6.97,0.64
1951,2,7.0,9.44,0.89
1831,2,13.1,8.38,0.88
1343,2,21.7,8.28,0.61
3300,0,5.4,7.37,0.85
2243,5,12.9,8.73,0.72
500,2,1.2,8.7,0.86
1930,2,13.5,7.92,0.72
1336,4,15.8,7.82,0.51
2396,6,18.0,11.71,0.9
1245,3,10.2,6.75,0.74
1719,1,7.2,7.0,0.72
2153,3,12.6,8.21,0.67
2406,2,13.0,7.79,0.7
959,4,12.7,8.34,0.77
1565,1,6.8,7.74,0.61
1467,1,1.3,5.95,0.87
1342,1,14.1,6.92,0.67
3035,5,14.7,9.4,0.51
2083,3,4.5,9.77,0.74
917,3,14.7,7.86,0.94
2442,2,13.7,8.1,0.85
3285,3,9.2,8.62,0.61
2522,6,10.0,11.08,0.95
736,2,15.6,7.95,0.8
1461,3,9.2,7.36,0.79
2686,0,0.0,8.7,0.73
1304,3,11.2,8.63,0.56
2110,3,12.3,10.47,0.59
2342,5,14.6,9.22,0.69
1151,3,8.0,7.02,0.86
1758,3,11.9,8.36,0.69
500,4,16.3,6.1,0.68
1082,4,2.1,6.32,0.78
1623,2,13.1,7.71,0.34
926,0,12.2,7.23,0.39
2942,1,7.5,8.19,0.69
798,4,6.1,7.67,0.35
1491,1,13.7,7.82,0.55
1891,1,15.6,6.4,0.73
794,4,11.9,7.11,0.48
2614,2,5.5,8.29,0.87
1807,4,9.7,10.48,0.68
2123,1,13.8,10.15,0.88
1939,4,15.9,8.06,0.64
1379,1,9.9,4.68,0.86
1848,3,22.6,10.37,0.46
1530,2,3.9,7.2,0.72
1879,1,6.4,6.98,0.7
2263,4,13.3,9.3,0.71
2910,1,7.6,8.91,0.71
933,0,7.0,6.62,0.56
3293,3,15.9,8.46,0.62
500,2,6.0,7.5,0.72
1693,2,19.3,6.95,0.38
2211,1,4.6,5.35,0.48
1996,4,9.1,8.86,0.58
1364,2,16.1,6.9,0.81
1654,5,20.1,9.31,0.54
1454,2,8.8,6.22,0.39
1387,2,16.6,9.05,0.65
2394,3,7.1,7.25,0.64
2049,5,4.5,8.77,0.49
1314,2,15.4,8.44,0.66
2429,2,2.8,7.56,0.65
2015,2,10.3,7.32,0.65
2369,2,19.9,10.16,0.72
2240,2,5.7,8.92,0.57
1219,3,5.1,9.91,0.4
1407,1,4.4,5.76,0.36
2323,2,4.3,6.89,0.8
2227,1,3.7,7.55,0.55
1785,4,5.1,9.58,0.68
1882,5,18.9,8.51,0.73
2694,4,4.4,11.17,0.56
1385,0,11.3,6.44,0.95
2182,3,3.4,8.43,0.85
1658,2,11.2,9.12,0.88
1647,1,13.6,6.83,0.98
2569,3,11.4,7.13,0.88
2369,3,11.4,9.03,0.35
2713,3,8.9,9.65,0.63
1814,5,13.1,9.25,0.7
2277,3,5.2,10.79,0.64
1582,0,9.8,5.22,0.6
2026,1,7.8,6.48,0.82
1708,5,17.8,9.94,0.92
1867,1,14.4,5.95,0.74
2216,1,10.9,6.9,0.64
1227,4,11.2,8.41,0.81
3264,3,7.8,7.52,0.66
1095,2,6.0,6.73,0.82
950,2,12.1,5.49,0.41
2610,2,13.0,8.43,0.61
2354,2,9.7,8.49,0.65
2236,3,11.5,8.29,0.43
2239,3,4.7,9.19,0.51
1791,2,11.1,9.27,0.67
1171,3,9.3,6.41,0.68
1853,3,17.4,9.34,0.7
1325,3,13.2,8.83,0.77
2482,2,8.9,9.92,0.9
1697,1,11.2,6.93,0.82
1222,5,23.4,9.68,0.35
1575,3,16.0,8.38,0.64
2089,1,6.4,7.41,0.57
1405,1,11.8,6.2,0.59
1970,4,17.2,8.86,0.63
1971,0,7.4,8.51,0.89
1445,3,17.8,7.96,0.56
1470,5,5.0,8.95,0.72
1962,2,5.1,8.2,0.62
786,4,3.4,8.26,0.5
814,2,2.5,7.07,0.81
1297,4,12.9,7.18,0.93
1650,1,2.3,10.25,0.73
2017,2,5.4,7.35,0.55
2832,3,3.0,8.76,0.75
2400,2,12.7,8.13,0.65
1688,6,9.1,10.92,0.64
1786,3,16.0,7.71,0.68
1098,3,10.9,7.46,0.88
1787,3,18.6,9.3,0.81
1597,1,7.4,7.22,0.85
2025,3,15.9,8.69,0.93
1220,2,11.4,7.66,0.8
2163,7,19.4,11.66,0.61
2872,3,16.3,9.67,0.52
1723,3,12.5,8.41,0.44
2081,7,18.3,9.87,0.64
2283,3,14.4,10.54,0.9
1519,3,3.5,8.46,0.91
1956,6,17.0,9.45,0.48
1808,3,15.8,10.1,0.48
1868,4,12.4,6.13,0.6
1258,3,4.8,7.34,0.39
1817,4,15.3,7.35,0.44
2148,0,1.0,4.35,0.75
2815,2,2.0,8.15,0.75
2471,1,15.0,10.99,0.69
3307,4,15.4,9.72,0.43
1262,1,5.2,8.17,0.93
2410,0,10.1,6.3,0.73
1928,1,8.2,6.01,0.74
3332,0,12.0,8.93,0.63
1212,0,3.6,5.93,0.98
1380,2,8.6,7.49,0.61
500,1,3.3,6.1,0.83
1431,2,15.6,8.06,0.77
1268,0,6.9,7.91,0.61
1905,7,15.3,11.16,0.5
2039,3,9.5,9.24,0.83
3113,2,7.5,8.36,0.93
2465,4,10.2,10.34,0.84
1396,1,7.3,9.26,0.81
1171,3,15.5,9.18,0.6
2144,0,12.6,9.13,0.66
875,5,14.8,7.63,0.63
3082,4,20.0,10.73,0.54
2625,2,13.5,7.98,0.47
600,4,17.2,9.6,0.66
2747,0,12.7,7.18,0.73
1719,2,11.3,9.35,0.67
2666,5,12.6,10.11,0.75
683,3,4.9,8.31,0.87
1380,1,6.8,6.25,0.85
1803,1,0.0,5.1,0.86
1832,5,12.2,10.47,0.46
1484,2,10.6,7.65,0.9
2235,0,13.4,7.82,0.73
1052,2,7.8,8.07,0.85
1700,2,11.7,7.3,0.42
2160,3,5.9,8.14,0.43
2298,3,14.4,8.03,0.94
1012,2,2.1,5.05,0.57
726,2,5.6,5.44,0.65
2694,1,4.9,6.78,0.53
2032,3,8.1,9.61,0.5
1276,1,5.6,5.58,0.87
2885,4,14.5,11.45,0.62
1880,4,11.8,7.42,0.46
2625,5,8.8,8.75,0.61
1847,3,4.0,5.2,0.73
3028,2,15.2,5.52,0.7
1625,2,10.4,6.76,0.61
2480,1,0.0,6.27,0.61
1124,2,7.8,8.53,0.9
2280,5,20.6,10.55,0.53
2540,3,15.0,10.2,0.42
568,4,16.8,7.27,0.58
971,2,15.7,8.99,0.56
500,3,9.6,8.53,0.62
1611,2,8.7,6.84,0.71
2302,1,9.6,6.51,0.59
2851,3,8.8,8.42,0.58
1851,4,9.9,8.63,0.77
2940,1,13.4,7.64,1.0
833,2,13.3,5.27,0.75
607,4,2.4,8.23,0.54
1761,3,10.7,7.9,0.8
2068,2,16.3,6.77,0.63
1777,2,14.3,6.01,0.78
500,4,13.3,8.66,0.56
1737,4,20.5,9.18,0.67
886,2,8.4,5.82,0.72
2268,1,8.0,6.96,0.68
2056,5,3.7,9.09,0.4
1142,0,7.9,6.21,0.73
1440,4,22.2,10.02,0.62
1058,0,7.9,5.64,0.81
1756,3,12.7,9.75,0.72
2468,4,11.9,8.46,0.81
1109,2,12.7,8.94,0.59
2152,3,8.3,7.59,0.75
1428,2,19.3,8.02,0.7
1244,1,14.6,6.08,0.64
1725,5,17.5,11.73,0.7
1075,2,16.3,7.55,0.62
1412,2,10.3,6.36,0.61
3175,4,14.7,10.39,0.92
1824,6,21.2,8.57,0.47
1310,0,6.6,6.66,0.89
1949,4,11.3,9.62,0.5
1721,3,12.2,7.03,0.55
1645,3,1.7,7.23,0.63
2229,4,7.6,8.12,0.74
2330,4,9.9,7.43,0.78
1428,0,13.9,4.63,0.79
1396,1,11.2,8.57,0.81
1607,4,7.6,9.15,0.7
500,1,10.9,8.17,0.79
739,1,9.7,6.49,0.74
2756,2,7.8,8.55,0.61
2951,1,6.1,8.04,0.7
1625,3,23.4,8.85,0.81
2017,4,10.0,8.79,0.72
2583,2,6.1,6.24,0.91
1710,7,13.7,7.88,0.63
1131,1,3.3,7.01,0.63
675,1,10.5,6.88,0.8
1942,5,15.8,9.62,0.3
1270,5,8.6,9.9,0.64
804,1,16.4,8.76,0.64
1347,2,5.6,6.23,0.75
1042,2,12.7,7.12,0.79
2980,5,7.6,10.18,0.52
2417,3,14.4,10.66,0.61
1794,4,15.4,10.35,0.78
2835,1,5.5,7.26,0.77
1854,4,14.7,8.74,0.47
1197,3,13.3,8.79,0.88
2866,3,10.5,7.85,0.69
2177,3,15.7,10.36,0.64
1073,3,7.1,8.66,0.59
1666,2,16.6,7.18,0.54
1187,2,13.1,8.11,0.59
832,2,4.0,8.56,0.52
2448,1,12.0,8.65,0.71
3136,5,12.9,9.59,0.47
821,2,7.5,6.46,0.57
2194,1,13.0,6.63,0.96
1344,0,13.2,8.51,0.59
1459,2,0.0,4.14,0.62
1385,5,13.7,6.43,0.64
1195,4,12.1,9.72,0.7
1833,4,10.2,7.77,0.64
1218,1,10.2,5.24,0.64
1989,3,16.8,9.07,0.42
1764,1,2.7,7.06,0.73
1632,5,10.3,8.39,0.78
1164,1,5.5,6.04,0.48
1396,1,12.1,7.48,0.69
2328,3,8.8,9.92,0.38
2150,3,15.4,8.15,0.76
1115,3,16.2,7.24,0.76
1869,3,10.5,9.43,0.56
2325,3,12.5,5.95,0.66
631,2,9.7,7.13,0.76
2180,4,23.0,9.4,0.69
1336,3,6.8,9.31,0.71
2199,2,2.9,9.57,0.71
1265,1,0.0,7.3,1.0
536,2,11.5,9.16,0.87
660,2,11.6,9.15,0.71
1833,2,4.7,6.92,0.69
1981,3,7.8,8.17,0.72
1166,3,16.5,6.71,0.9
2247,2,14.5,6.76,0.8
636,0,6.8,5.5,1.0
1753,0,5.7,6.97,0.87
952,1,6.7,7.05,0.75
1343,3,13.4,6.93,0.54
1833,6,17.1,9.19,0.75
1197,2,14.4,7.78,0.6
1530,1,12.6,6.84,1.0
2504,1,5.3,6.93,0.53
1396,1,9.8,7.86,0.52
2384,4,15.2,8.45,0.66
1009,3,8.9,6.9,0.7
2170,2,10.3,8.4,0.9
2809,4,9.5,9.31,0.8
500,1,4.9,6.71,0.81
1242,1,3.0,8.07,0.77
2203,4,7.0,5.46,0.65
1657,5,12.0,10.94,0.68
2059,4,9.7,9.85,0.63
1377,0,12.4,6.45,0.58
1860,4,9.1,8.17,0.3
1691,1,8.4,5.53,0.72
2617,2,11.4,7.86,0.64
1978,2,6.2,8.09,0.35
2036,2,8.5,7.96,0.94
1511,1,0.0,7.64,0.6
1458,5,19.4,7.96,0.57
1505,1,8.5,9.7,0.86
2002,3,14.8,9.06,0.67
3252,2,15.2,8.27,0.91
2409,2,11.3,9.14,0.67
1571,6,7.7,10.08,0.34
2640,4,23.5,10.56,0.53
1514,1,8.1,6.46,0.48
500,2,8.6,7.62,0.67
1094,3,12.3,7.79,0.57
500,2,18.8,8.41,0.72
1553,3,15.9,8.54,0.62
1812,1,13.7,9.38,0.45
2973,7,15.3,9.25,0.58
2028,2,18.0,7.8,0.65
1646,4,11.7,7.69,0.6
2380,5,7.1,8.62,0.51
500,1,8.9,8.03,0.88
1964,3,11.6,6.99,0.47
2339,4,7.9,9.28,0.69
764,5,11.0,8.52,0.46
2600,2,6.9,4.36,0.98
2036,2,16.7,7.88,0.87
1509,3,9.4,6.72,0.75
2242,2,13.6,5.86,0.86
3389,2,14.1,9.2,0.89
1927,3,16.2,8.89,0.48
1973,3,14.9,10.25,0.74
1478,5,15.6,8.17,0.54
1205,2,0.0,5.73,0.91
2381,5,5.0,9.54,0.43
1200,3,7.3,7.92,0.74
1850,4,9.8,9.09,0.51
1465,2,7.1,6.95,0.94
2135,2,11.2,7.24,0.67
2033,4,13.5,7.93,0.69
2526,2,3.0,7.88,0.79
1442,0,12.2,7.84,0.59
1611,1,10.8,7.36,0.76
1114,0,6.6,6.76,0.96
1488,7,16.5,8.1,0.61
2064,1,15.1,7.63,0.53
2329,6,15.7,9.58,0.48
1154,2,13.3,6.82,0.95
2408,3,4.9,9.08,0.82
2748,6,14.6,11.02,0.71
2089,2,8.1,7.89,0.57
3113,3,8.8,10.21,0.66
1258,1,8.3,7.77,0.65
928,5,15.4,8.59,0.47
554,0,9.0,6.38,0.89
2847,2,12.1,6.31,0.59
2258,0,0.0,7.27,0.61
1761,4,14.5,9.53,0.79
1995,5,16.9,10.77,0.87
1012,0,2.2,5.61,0.76
3512,3,14.7,9.61,0.46
1890,3,16.8,8.75,0.66
1876,4,13.6,7.67,0.46
2308,5,12.8,9.66,0.53
2136,4,12.8,8.49,0.64
1956,1,4.3,9.13,0.84
1246,7,14.3,9.93,0.57
2130,4,14.4,10.66,0.52
3117,3,18.7,8.63,0.89
2741,2,14.5,7.57,0.79
2915,5,4.6,10.77,0.84
1442,1,4.3,8.04,0.72
1107,2,7.6,7.28,0.76
1711,6,17.5,10.15,0.38
1839,1,9.5,8.32,0.84
615,2,13.7,8.43,0.61
2870,2,12.7,7.11,0.62
1689,2,13.3,7.86,0.73
1501,3,12.6,7.83,0.51
1091,4,18.7,7.82,1.0
641,2,9.3,9.51,0.51
2376,1,3.6,6.53,0.42
1851,5,16.3,11.37,0.59
897,2,15.7,8.64,0.74
893,7,17.3,10.8,0.74
1564,7,14.7,9.0,0.69
1618,1,3.1,7.64,0.84
747,1,9.2,6.86,0.83
1627,2,13.9,7.21,0.71
1609,2,9.9,7.18,0.52
500,2,10.9,7.5,0.52
1761,3,10.2,6.09,0.62
1638,5,17.0,9.42,0.58
2287,2,11.5,8.14,0.86
3094,3,13.3,9.2,0.68
2588,3,8.3,6.8,0.6
1611,2,12.8,8.59,1.0
1025,2,2.1,5.9,0.81
1783,2,10.3,7.91,0.97
1938,2,13.5,7.47,0.85
1698,0,8.4,8.04,0.89
1398,7,24.8,11.24,0.46
1417,4,19.0,10.11,0.89
1777,2,9.4,7.55,0.73
1419,3,6.9,7.59,0.38
1301,6,16.3,9.32,0.55
1874,2,11.5,8.06,0.6
1621,4,14.9,7.12,0.54
2852,2,15.9,10.17,0.42
500,1,18.4,5.8,0.77
2564,2,8.6,8.85,0.5
2672,0,1.1,6.52,0.92
500,1,4.1,6.97,0.56
1560,3,8.2,8.2,0.52
1539,1,14.5,8.19,0.54
814,3,2.5,7.67,0.81
1255,2,11.1,8.16,0.69
1022,2,4.3,8.96,0.67
3026,3,10.7,8.56,0.64
2454,4,10.4,11.3,0.78
2690,2,1.6,8.26,0.92
2305,2,13.4,8.57,0.65
1009,1,4.4,6.92,0.48
1432,2,11.7,7.35,0.78
2142,3,21.0,6.51,0.73
944,3,6.8,9.59,0.5
2299,1,12.1,7.83,0.32
1631,4,9.1,6.14,0.5
1537,1,1.4,5.02,1.0
2297,2,18.5,9.92,0.49
2110,2,11.3,8.83,0.72
1547,3,13.5,8.02,0.87
2611,2,3.4,8.64,0.52
1043,2,6.9,7.11,0.66
2231,0,5.6,7.35,0.77
2215,1,8.9,7.19,0.85
1583,2,14.7,7.26,0.58
2028,4,15.2,10.38,0.41
924,0,5.7,6.23,0.94
2446,2,6.4,5.87,0.68
1670,2,8.5,7.86,0.5
1434,4,11.9,8.65,0.74
2534,1,6.8,8.05,0.8
1306,1,8.1,5.54,0.99
814,2,16.1,8.63,0.51
710,1,6.5,7.28,0.62
2224,3,7.2,10.25,0.71
903,1,11.0,6.44,0.94
3028,6,11.4,9.88,0.8
500,2,9.3,6.14,0.84
2987,4,6.4,9.6,0.52
1947,2,10.8,7.95,0.59
1732,3,10.3,8.41,0.71
2079,2,7.6,6.1,0.93
1773,2,8.8,7.9,0.79
2572,2,19.7,6.89,0.96
1879,2,8.0,7.81,0.54
1905,2,19.7,8.61,0.56
1545,3,13.1,8.78,0.9
1760,2,4.6,8.73,0.65
2015,6,16.3,9.23,0.68
602,2,11.8,7.31,0.37
856,2,16.0,10.26,0.62
2320,2,8.9,7.93,0.67
1919,1,14.6,7.87,0.8
1671,2,15.2,6.22,0.74
1812,1,3.5,5.84,0.76
2043,3,6.1,8.32,0.71
1422,4,4.2,5.78,0.67
1255,2,15.0,7.31,0.6
1937,3,5.1,10.15,0.59
1115,1,15.0,6.86,0.9
2085,1,16.0,7.35,0.71
608,0,18.8,7.73,0.64
2520,4,15.9,8.62,0.79
2130,2,14.2,9.19,0.63
2487,6,7.8,8.64,0.46
2965,6,9.4,9.25,0.33
2510,2,7.7,8.23,0.64
511,1,12.1,7.23,0.59
904,5,11.7,7.27,0.56
1362,3,8.9,8.24,0.61
1818,2,19.1,9.68,0.74
2162,0,4.4,6.53,0.72
1291,1,3.3,8.85,0.72
1930,3,16.4,10.75,0.41
1271,2,15.4,7.4,0.95
1371,3,16.7,7.4,0.9
815,1,6.2,7.4,0.83
1153,0,5.2,6.16,0.82
853,3,19.1,9.52,0.68
1116,2,8.7,7.41,0.43
2537,3,12.6,8.66,0.97
1135,1,16.8,8.32,0.57
3642,3,8.2,8.31,0.58
2145,4,9.5,8.3,0.74
1929,3,10.2,8.0,0.97
1199,3,13.3,7.35,0.77
2290,3,5.9,7.73,0.69
1397,3,5.6,8.97,0.61
1885,2,8.1,7.87,0.81
3592,5,17.4,11.97,0.56
1732,2,12.6,6.63,0.56
2604,3,9.9,5.94,0.42
1307,2,13.1,6.79,0.78
1775,2,4.5,7.03,0.84
3039,4,13.1,9.39,0.53
1361,2,10.3,6.52,0.83
3068,3,18.2,8.98,0.82
2295,3,13.5,9.73,0.32
1406,3,1.6,8.07,0.4
2242,2,4.1,8.12,0.69
2480,3,13.5,4.97,0.61
2235,3,1.9,7.31,0.67
700,5,13.7,10.76,0.54
1291,1,6.5,7.35,0.72
1626,1,9.0,6.17,0.69
1747,2,7.1,6.84,0.71
2234,5,18.5,10.37,0.58
1924,3,9.7,7.41,0.62
865,2,12.7,8.78,0.97
2066,2,12.6,7.13,0.47
2227,3,5.5,8.06,1.0
2191,2,11.8,9.69,0.56
2556,6,12.3,10.81,0.51
2383,3,13.6,9.87,0.6
2121,2,4.9,7.94,0.91
1750,2,8.8,7.36,0.76
637,5,15.9,9.56,0.71
2100,2,12.0,10.05,0.91
1945,2,5.8,7.42,0.55
1990,3,13.0,7.84,0.69
906,3,13.6,7.75,0.96
1043,1,2.1,5.34,0.57
2537,2,2.0,6.4,0.85
1772,5,17.0,8.7,0.53
2277,2,4.5,8.03,0.68
1819,2,10.9,6.84,0.78
1820,3,10.8,7.31,0.54
2456,6,12.6,9.64,0.66
1438,0,15.8,8.08,0.83
1867,2,5.2,9.22,0.78
1476,3,7.5,6.73,0.65
1495,7,19.7,11.78,0.4
1583,3,13.2,7.57,0.69
1955,3,12.3,10.51,0.7
1464,5,15.4,10.24,0.81
2679,3,8.7,8.07,0.87
1173,2,5.1,6.16,0.6
1669,5,21.8,8.45,0.78
1492,5,8.3,7.51,0.64
2812,1,0.0,9.53,0.9
1937,4,9.2,8.37,0.75
2522,5,18.0,7.99,0.78
760,2,0.3,4.92,0.63
1986,2,6.2,7.8,0.68
2422,2,14.9,7.68,0.71
1857,5,7.7,10.42,0.59
2545,3,12.5,8.18,0.84
1437,0,8.0,6.36,0.79
2786,2,10.7,8.19,0.86
3409,2,13.5,9.52,0.79
1546,0,1.7,6.68,0.69
1488,2,15.0,8.79,0.86
2817,4,6.8,10.75,0.45
2905,6,12.8,9.3,0.61
1433,3,9.8,7.75,0.72
1505,3,13.7,8.59,0.75
1602,2,2.5,8.44,0.75
858,2,18.5,8.97,0.78
1156,2,9.0,8.81,0.82
1097,3,15.6,6.82,0.61
1262,2,4.2,7.46,0.78
1775,2,7.7,4.69,0.7
1963,2,0.0,7.32,0.5
2885,5,18.2,11.19,0.57
1101,3,6.5,5.64,0.93
2489,2,4.6,8.45,0.46
1650,2,13.1,7.41,0.75
1765,6,0.0,9.36,0.69
2272,4,11.7,8.89,0.55
1014,1,18.1,7.46,0.67
2067,4,7.8,8.05,0.37
1916,2,5.9,7.94,0.89
2144,3,16.2,9.28,0.71
2002,1,3.2,6.84,0.94
3518,6,22.3,9.02,0.58
1353,3,17.1,8.84,0.45
1428,1,11.8,9.47,0.81
1363,3,6.8,7.38,0.83
1411,3,11.1,7.36,0.63
1353,2,9.0,8.31,0.95
2632,4,13.2,8.02,0.62
2794,2,12.0,8.09,0.74
1400,5,11.3,8.3,0.8
1217,2,7.7,7.25,0.61
2129,1,12.8,7.07,0.73
